queue_order,header,class_or_group,binding_files,classification,isis9_api,isis10_api,python_contract,code_action,isis9_validation,isis10_validation,status,review_date,notes
21,CameraDistortionMap.h,CameraDistortionMap,src/bind_camera_maps.cpp;src/bind_camera.cpp,shared-no-change,"focal-plane transform API","same public declarations","shared distortion-map transform contract","No compatibility code change","build PASS; camera_maps_unit_test 50/50; smoke PASS","build PASS; camera_maps_unit_test 50/50; smoke PASS",closed,2026-07-24,"Header declarations identical"
22,CameraFocalPlaneMap.h,CameraFocalPlaneMap,src/bind_camera_maps.cpp,shared-no-change,"focal-plane map API; ISIS9 forward declaration of QVector","ISIS10 directly includes QVector; public declarations unchanged","shared focal-plane map contract","No compatibility code change","build PASS; camera_maps_unit_test 50/50; smoke PASS","build PASS; camera_maps_unit_test 50/50; smoke PASS",closed,2026-07-24,"Include strategy only; no Python-visible drift"
23,CameraGroundMap.h,CameraGroundMap,src/bind_camera_maps.cpp,shared-no-change,"ground map geometry API","same public declarations","shared ground-map contract","No compatibility code change","build PASS; camera_maps_unit_test 50/50; smoke PASS","build PASS; camera_maps_unit_test 50/50; smoke PASS",closed,2026-07-24,"Header declarations identical"
24,CameraSkyMap.h,CameraSkyMap,src/bind_camera_maps.cpp,shared-no-change,"sky map geometry API","same public declarations","shared sky-map contract","No compatibility code change","build PASS; camera_maps_unit_test 50/50; smoke PASS","build PASS; camera_maps_unit_test 50/50; smoke PASS",closed,2026-07-24,"Header declarations identical"
25,CSMSkyMap.h,CSMSkyMap,src/bind_camera_maps.cpp,shared-no-change,"CSM sky map constructor/set_sky API","same public declarations","shared CSM sky-map contract","No compatibility code change","build PASS; camera_maps_unit_test 50/50; smoke PASS","build PASS; camera_maps_unit_test 50/50; smoke PASS",closed,2026-07-24,"Header declarations identical"
26,OsirisRexOcamsOpenCVDistortionMap.h,OsirisRexOcamsOpenCVDistortionMap,src/bind_isis10.cpp,isis10-only-addition,"header and class absent","new OCAMS OpenCV distortion class with Camera/QString constructor and three public methods","symbol absent on ISIS9; full class surface exported on ISIS10","Guard include and binding with PYISIS_ISIS10_API; convert str to QString; keep parent Camera alive; reject null parent","build PASS; isis10_api 1/5 pass with 4 expected skips; osirisrex 14/14; smoke PASS","build PASS; isis10_api 5/5; osirisrex 14/14; smoke PASS",closed,2026-07-24,"Constructor implementation and libOsirisRexOcamsCamera exports verified before binding"
27,ImageIoHandler.h,ImageIoHandler,src/bind_isis10.cpp,isis10-only-addition,"header and class absent","new abstract image-I/O base with Buffer, label, virtual-band, cache, and Qt mutex APIs","symbol absent on ISIS9; ISIS10 exports the safe shared I/O contract through a registered abstract base","Guard include and binding with PYISIS_ISIS10_API; copy Python band lists; exclude constructor, raw cache ownership, no-op base clearCache, and QMutex","build PASS; isis10_api 1/7 pass with 6 expected skips; smoke PASS","build PASS; isis10_api 7/7; smoke PASS",closed,2026-07-24,"Base is registered to support GdalIoHandler without exposing Qt synchronization or ambiguous ownership"
28,GdalIoHandler.h,GdalIoHandler,src/bind_isis10.cpp,isis10-only-addition,"header and class absent","new GDAL-backed ImageIoHandler with path and raw GDALDataset constructors","symbol absent on ISIS9; ISIS10 exports a path/list/PixelType/writable facade and safe Buffer/label methods","Guard include and binding with PYISIS_ISIS10_API; preflight file and virtual bands; exclude raw GDALDataset constructor and redundant init","build PASS; isis10_api 1/7 pass with 6 expected skips; smoke PASS","build PASS; isis10_api 7/7 including real TIFF read and guards; smoke PASS",closed,2026-07-24,"GDAL open is preflighted because the upstream path constructor dereferences the dataset before checking open failure"
29,Environment.h,Environment,src/base/bind_base_utility.cpp,version-gated-addition,"user/host/ISIS version and environment lookup","adds static aleVersion() reading $ISISROOT/ale_version.txt","shared environment helpers remain stable; ale_version is ISIS 10-only","Conditionally expose ale_version with QString-to-str conversion","build PASS; utility/support 133/133; smoke PASS","build PASS; utility/support 133/133; smoke PASS",closed,2026-07-24,"Active conda header, upstream implementation, libisis export, and temporary-version-file behavior verified"
30,FileName.h,FileName,src/base/bind_base_support.cpp,shared-wrapper,"equality is a non-const member and returns false for equal nonexistent paths","equality is a friend function and fixes nonexistent-path comparison","Python __eq__/__ne__ use one stable canonical/expanded-path contract","Implement the ISIS 10 equality algorithm locally for both versions","build PASS; utility/support 133/133; smoke PASS","build PASS; utility/support 133/133; smoke PASS",closed,2026-07-24,"Focused test detected the ISIS 9 behavioral bug before the local wrapper was applied"
31,IException.h,IException,src/base/bind_base_support.cpp,version-gated-addition,"exception translation and ErrorType helpers; no length()","adds length() for the internal previous-exception chain","Python exception translation and static helper contract remain stable; length is intentionally absent","Do not replace py::register_exception with a py::class_ solely for one instance method","build PASS; utility/support 133/133; smoke PASS","build PASS; utility/support 133/133; smoke PASS",closed,2026-07-24,"register_exception does not retain a callable C++ exception instance"
32,SpecialPixel.h,SpecialPixel constants used by Pixel,src/base/bind_base_utility.cpp,version-gated-addition,"double/float and unsigned integer special-pixel constants","adds signed int32 and signed int8 storage constants","existing Python Pixel contract uses stable double sentinels and predicates","Do not export only the new storage constants without a coherent cross-version SpecialPixel namespace","build PASS; utility/support 133/133; smoke PASS","build PASS; utility/support 133/133; smoke PASS",closed,2026-07-24,"Header-only storage constants do not alter bound Pixel behavior"
33,PvlFormat.h,PvlFormat,src/base/bind_base_pvl.cpp,shared-no-change,"inline keyword type parser uses QRegExp","inline parser uses QRegularExpression for Qt6","bound constructors, format methods, KeywordType, and wrappers are unchanged","No compatibility branch; validate the complete PVL focused suite","build PASS; pvl_unit_test 82/82; smoke PASS","build PASS; pvl_unit_test 82/82; smoke PASS",closed,2026-07-24,"Qt regular-expression implementation change does not cross the Python boundary"
34,LabelTranslationManager.h,LabelTranslationManager,src/base/bind_base_pvl.cpp,shared-no-change,"includes PvlTokenizer transitively; stable abstract API","removes unused PvlTokenizer include; declarations unchanged","registered abstract base and translation facade remain shared","No code change","build PASS; pvl_unit_test 82/82; smoke PASS","build PASS; pvl_unit_test 82/82; smoke PASS",closed,2026-07-24,"Non-declaration include cleanup only"
35,PvlToPvlTranslationManager.h,PvlToPvlTranslationManager,src/base/bind_base_pvl.cpp,shared-no-change,"includes PvlTokenizer transitively; stable public API","removes unused include and whitespace; declarations unchanged","four constructors and translation methods remain shared","No code change","build PASS; pvl_unit_test 82/82; smoke PASS","build PASS; pvl_unit_test 82/82; smoke PASS",closed,2026-07-24,"Non-declaration change only"
36,PvlToXmlTranslationManager.h,PvlToXmlTranslationManager,src/base/bind_base_pvl.cpp,shared-no-change,"includes PvlTokenizer transitively; QDomDocument methods intentionally excluded","removes unused include and whitespace; declarations unchanged","existing safe facade and QDomDocument exclusion boundary remain shared","No code change","build PASS; pvl_unit_test 82/82; smoke PASS","build PASS; pvl_unit_test 82/82; smoke PASS",closed,2026-07-24,"Non-declaration change only"
37,XmlToPvlTranslationManager.h,XmlToPvlTranslationManager,src/base/bind_base_pvl.cpp,shared-no-change,"includes PvlTokenizer transitively; FileName/stream facade","removes unused include; declarations unchanged","FileName and translation-stream constructors remain shared","No code change","build PASS; pvl_unit_test 82/82; smoke PASS","build PASS; pvl_unit_test 82/82; smoke PASS",closed,2026-07-24,"Non-declaration change only"
38,ShapeModel.h,ShapeModel,src/base/bind_base_shape.cpp,shared-wrapper,"calculateDefaultNormal/calculateSurfaceNormal are pure virtual; calculateEllipsoidalSurfaceNormal exists","normal methods gain base implementations; ellipsoidal helper is removed","Python normal methods remain shared through the base class","Retain existing version-gated ellipsoid_normal wrapper; no new branch","build PASS; target_shape 7 tests with 1 skip; smoke PASS","build PASS; target_shape 7 tests with 1 skip; smoke PASS",closed,2026-07-24,"QVector include becomes explicit; Python vectors remain std::vector/list"
39,EllipsoidShape.h,EllipsoidShape,src/base/bind_base_shape.cpp,shared-wrapper,"declares normal overrides","inherits normal implementations from ShapeModel","same calculate_default_normal/calculate_surface_normal names remain available","Use inherited methods through the registered base class","build PASS; target_shape 7 tests with 1 skip; smoke PASS","build PASS; target_shape 7 tests with 1 skip; smoke PASS",closed,2026-07-24,"No Python-visible method removal"
40,DemShape.h,DemShape,src/base/bind_base_shape.cpp,shared-wrapper,"declares normal overrides; no cached DEM helper state","inherits normal methods; adds private intersection helpers and cache state","existing public DEM and normal facade remains stable","No binding for private calcDemErrUpdateIntersection/findDemValue","build PASS; target_shape 7 tests with 1 skip; smoke PASS","build PASS; target_shape 7 tests with 1 skip; smoke PASS",closed,2026-07-24,"Private ray/DEM implementation additions are not public API"
41,NaifDskShape.h,NaifDskShape,src/base/bind_base_shape.cpp,shared-wrapper,"declares normal overrides and QVector ellipsoidNormal","inherits normal methods; removes derived ellipsoidNormal","Python normal methods remain inherited; ellipsoid_normal keeps list return","Use the existing ISIS-version wrapper: ISIS9 calls ellipsoidNormal; ISIS10 calculates then returns normal()","build PASS; target_shape 7 tests with 1 skip; smoke PASS","build PASS; target_shape 7 tests with 1 skip; smoke PASS",closed,2026-07-24,"Wrapper was already present in the compatibility baseline"
42,EmbreeShapeModel.h,EmbreeShapeModel,src/base/bind_base_shape.cpp,shared-wrapper,"declares normal overrides, ellipsoidNormal, and incidenceAngle override","inherits normal/incidence methods and removes derived ellipsoidNormal","conditional Embree class retains existing Python method names when available","Reuse base methods and version-gated ellipsoid_normal wrapper","build PASS; target_shape 7 tests with 1 skip; smoke PASS","build PASS; target_shape 7 tests with 1 skip; smoke PASS",closed,2026-07-24,"Embree export remains conditional on platform dependency availability"
43,BulletShapeModel.h,BulletShapeModel,src/base/bind_base_shape.cpp,shared-wrapper,"declares normal overrides and QVector ellipsoidNormal","inherits normal methods and removes derived ellipsoidNormal","normal method names and list-returning ellipsoid_normal remain stable","Reuse base methods and version-gated ellipsoid_normal wrapper","build PASS; target_shape 7 tests with 1 skip; smoke PASS","build PASS; target_shape 7 tests with 1 skip; smoke PASS",closed,2026-07-24,"Default constructor has no internal Bullet world in both versions; intersection methods require a factory/initialized model"
44,BulletTargetShape.h,BulletTargetShape,src/base/bind_base_shape_support.cpp,shared-no-change,"internally owns btCollisionObject through QSharedPointer","uses std::shared_ptr with a private static deleter and explicit ownership note","Python load factories still return owned BulletTargetShape pointers","Keep take_ownership on factory return; do not expose protected/private deleter","build PASS; target_shape 7 tests with 1 skip; smoke PASS","build PASS; target_shape 7 tests with 1 skip; smoke PASS",closed,2026-07-24,"Internal collision-object ownership change does not cross the Python object boundary"
45,Calculator.h,Calculator,src/base/bind_base_math.cpp,shared-no-change,"includes QVector and repeats its forward declaration","removes the redundant forward declaration","RPN stack and list conversion contract remain stable","No code change","build PASS; math/cube/low-level 204 tests with 1 expected failure; smoke PASS","build PASS; math/cube/low-level 204 tests with 1 expected failure; smoke PASS",closed,2026-07-24,"No public declaration or behavior change"
46,CubeCalculator.h,CubeCalculator,src/base/bind_base_math.cpp,shared-no-change,"repeats QVector forward declaration","removes the redundant forward declaration","Python list adapters for calculation data remain stable","No code change","build PASS; math/cube/low-level 204 tests with 1 expected failure; smoke PASS","build PASS; math/cube/low-level 204 tests with 1 expected failure; smoke PASS",closed,2026-07-24,"No public declaration change"
47,InfixToPostfix.h,InfixToPostfix,src/base/bind_base_math.cpp,shared-no-change,"stable converter API; regex type supplied transitively","adds explicit QRegularExpression include for Qt6","convert and tokenize_equation remain shared","No code change","build PASS; math/cube/low-level 204 tests with 1 expected failure; smoke PASS","build PASS; math/cube/low-level 204 tests with 1 expected failure; smoke PASS",closed,2026-07-24,"Include-only change"
48,PixelType.h,PixelType,src/bind_low_level_cube_io.cpp;src/bind_isis10.cpp,version-gated-addition,"stable PixelType enum/name/size helpers","same enum plus GDAL-to-ISIS and ISIS-to-GDAL inline mappings; signed-char spelling clarified","public PixelType enum remains shared; GDAL mapping is used internally by the ISIS10 GdalIoHandler facade","Do not expose GDALDataType; keep the mapping behind the PixelType-based facade","build PASS; math/cube/low-level 204 tests with 1 expected failure; smoke PASS","build PASS; math/cube/low-level 204 tests with 1 expected failure; isis10_api 7/7; smoke PASS",closed,2026-07-24,"No GDAL C enum crosses the Python boundary"
49,Camera.h,Camera,src/base/bind_base_ground_map.cpp;src/bind_camera.cpp;src/bind_camera_factory.cpp;src/bind_camera_hierarchy.cpp;src/bind_low_level_cube_io.cpp;src/bind_statistics.cpp;src/control/bind_bundle_advanced.cpp;src/control/bind_control_core.cpp;src/lro/bind_lro_utilities.cpp;src/mgs/bind_mgs_utilities.cpp;src/mission/bind_mission_cameras.cpp,shared-identical,"current conda header text","current conda header text","existing Camera hierarchy and Python methods remain shared","No code change","camera/maps/serial/target 70 tests with 1 environment skip; smoke PASS","camera/maps/serial/target 70 tests with 1 environment skip; smoke PASS",closed,2026-07-24,"Refreshed conda audit changed this header from review-required to identical"
50,CameraPointInfo.h,CameraPointInfo,src/bind_camera.cpp,shared-identical,"current conda header text","current conda header text","campt-style methods and PvlGroup ownership policy remain shared","No code change","camera/maps/serial/target 70 tests with 1 environment skip; smoke PASS","camera/maps/serial/target 70 tests with 1 environment skip; smoke PASS",closed,2026-07-24,"Refreshed conda audit changed this header from review-required to identical"
51,CSMCamera.h,CSMCamera,src/bind_camera_hierarchy.cpp;src/bind_camera_maps.cpp,shared-identical,"current conda header text","current conda header text","existing hierarchy symbol remains shared","No code change","camera/maps/serial/target 70 tests with 1 environment skip; smoke PASS","camera/maps/serial/target 70 tests with 1 environment skip; smoke PASS",closed,2026-07-24,"No standalone method inventory exists; class remains a hierarchy surface"
52,LineScanCameraGroundMap.h,LineScanCameraGroundMap,src/bind_camera_hierarchy.cpp;src/bind_camera_maps.cpp,shared-identical,"current conda header text","current conda header text","existing symbol-only export remains shared","No code change","camera/maps/serial/target 70 tests with 1 environment skip; smoke PASS","camera/maps/serial/target 70 tests with 1 environment skip; smoke PASS",closed,2026-07-24,"Behavior test still needs a stable line-scan fixture"
53,SerialNumberList.h,SerialNumberList,src/base/bind_base_support.cpp,shared-identical,"current conda header text","current conda header text","construct/add/remove/query/index contract remains shared","No code change","camera/maps/serial/target 70 tests with 1 environment skip; smoke PASS","camera/maps/serial/target 70 tests with 1 environment skip; smoke PASS",closed,2026-07-24,"Refreshed conda audit changed this header from review-required to identical"
54,Target.h,Target,src/base/bind_base_target.cpp;src/bind_camera.cpp;src/bind_spice_navigation.cpp,shared-identical,"current conda header text","current conda header text","Target and Camera.target surfaces remain shared","No code change","camera/maps/serial/target 70 tests with 1 environment skip; smoke PASS","camera/maps/serial/target 70 tests with 1 environment skip; smoke PASS",closed,2026-07-24,"Explicit Spice pointer surface remains intentionally excluded"
55,JP2Decoder.h,JP2Decoder,src/bind_high_level_cube_io.cpp,shared-identical,"current conda header text","current conda header text","constructor/dimensions/signedness/is_jp2 contract remains shared","Keep JP2Error-dependent helper conditional on the installed header","high/low I/O and statistics 93 tests with 2 existing skips; smoke PASS","high/low I/O and statistics 93 tests with 2 existing skips; smoke PASS",closed,2026-07-24,"Refreshed conda audit changed this header from review-required to identical"
56,JP2Encoder.h,JP2Encoder,src/bind_high_level_cube_io.cpp,shared-identical,"current conda header text","current conda header text","constructor/open_file contract remains shared","Keep JP2Error-dependent helper conditional on the installed header","high/low I/O and statistics 93 tests with 2 existing skips; smoke PASS","high/low I/O and statistics 93 tests with 2 existing skips; smoke PASS",closed,2026-07-24,"Raw pointer-to-pointer Write overloads remain intentionally excluded"
57,JP2Error.h,JP2Error,src/bind_high_level_cube_io.cpp,shared-identical,"header installed in current asp360_new prefix","header is now installed in current asp370 prefix with identical text","conditional Python symbol is available when the target prefix installs the header","Retain PYISIS_HAS_JP2_ERROR installation-surface guard","high/low I/O and statistics 93 tests with 2 existing skips; smoke PASS","high/low I/O and statistics 93 tests with 2 existing skips; smoke PASS",closed,2026-07-24,"Unstable flush teardown test remains skipped in both versions"
58,Endian.h,ByteOrder helpers,src/bind_low_level_cube_io.cpp,renamed-header,"Endian.h with ByteOrder and inline helpers","same definitions live in IEndian.h","ByteOrder enum and name/enumeration helpers remain identical","Keep __has_include selection preferring IEndian.h","high/low I/O and statistics 93 tests with 2 existing skips; smoke PASS","high/low I/O and statistics 93 tests with 2 existing skips; smoke PASS",closed,2026-07-24,"Header rename does not change Python names"
59,IEndian.h,ByteOrder helpers,src/bind_low_level_cube_io.cpp,renamed-header,"not installed; definitions live in Endian.h","IEndian.h with the same ByteOrder and inline helpers","ByteOrder enum and name/enumeration helpers remain identical","Keep __has_include selection with Endian.h fallback","high/low I/O and statistics 93 tests with 2 existing skips; smoke PASS","high/low I/O and statistics 93 tests with 2 existing skips; smoke PASS",closed,2026-07-24,"Paired review item for the ISIS 10 replacement header"
60,GroupedStatistics.h,GroupedStatistics,src/bind_statistics.cpp,shared-no-change,"QVector forward declaration","explicit QVector include replaces the forward declaration","add/get/type-list Python contract remains shared","No code change","high/low I/O and statistics 93 tests with 2 existing skips; smoke PASS","high/low I/O and statistics 93 tests with 2 existing skips; smoke PASS",closed,2026-07-24,"Include-only Qt6 hygiene change"
61,Projection.h,Projection,src/base/bind_base_ground_map.cpp;src/base/bind_base_projection.cpp;src/base/bind_base_projection_types.cpp;src/bind_low_level_cube_io.cpp,shared-no-change,"includes string and vector","removes unused string include","abstract projection and concrete derived Python APIs remain shared","No code change","projection/ground-map 87 tests; smoke PASS","projection/ground-map 87 tests; smoke PASS",closed,2026-07-24,"Include-only change"
62,TProjection.h,TProjection,src/base/bind_base_projection.cpp;src/base/bind_base_projection_types.cpp;src/bind_isis10.cpp,shared-no-change,"includes string and vector","removes unused string include","abstract triaxial projection and concrete derived APIs remain shared","No code change","projection/ground-map 87 tests; smoke PASS","projection/ground-map 87 tests; smoke PASS",closed,2026-07-24,"Include-only change"
63,UniversalGroundMap.h,UniversalGroundMap,src/base/bind_base_ground_map.cpp,version-gated-addition,"shared image/ground conversion plus backend accessors","adds LocalRadius and current/set priority methods","ISIS9 keeps its established surface; ISIS10 adds local_radius/current_priority/set_priority","Compile the three additions only for PYISIS_ISIS10_API and adapt priority int to CameraPriority","build PASS; projection/ground-map 87 tests; smoke PASS","build PASS; projection/ground-map 87 tests including new methods; smoke PASS",closed,2026-07-24,"set_priority follows upstream no-op behavior when the requested backend is unavailable"
